CODEN	ISSN	Serial Title	Publisher Name	
PSEPEM	0957-5820	"Process Safety and Environmental Protection: Transactions of the Institution   of Chemical Engineers, Part B"	IChemE	
PSAPE2	1066-8527	Process Safety Progress	AIChE	
PRFIAT	1362-3680	Product Finishing (London)	DMG Bus Media Ltd	
PIMJE8	0897-8336	Production and Inventory Management Journal	APICS	
002975	0032-9878	Production Journal	Newspaper Soc	
PPCOEM	0953-7287	Production Planning and Control	Taylor & Francis Ltd	
PRFCAB	0032-9940	Products Finishing (Cincinnati)	Gardner Publications Inc	
PFLEEZ	0953-6639	Professional Engineering	Inst Mech Eng	
002949	0308-4205	Professional Printer	Inst Print	
002622		Professional Program Proceedings of the Electronics Industries Forum	IEEE	
PRSAD5	0099-0027	Professional Safety	American Soc of Safety Engineers	
85RFAT		"Program Comprehension, Workshop Proceedings"	IEEE	
PCSODA	0361-7688	Programming and Computer Software (English Translation of Programmirovanie)	Plenum Publ Corp	
PROGD3	0132-3474	Programmirovanie	Mezhdunarodnaya Kniga	
PAESD6	0376-0421	Progress in Aerospace Sciences	Elsevier Science Ltd	
PAAEA9	0079-6050	Progress in Astronautics and Aeronautics	AIAA	
PRBEEZ	0920-5438	Progress in Biomedical Engineering	Elsevier Science B.V.	
PCGMED	0960-8974	Progress in Crystal Growth and Characterization of Materials	Elsevier Science Ltd	
PECSDO	0360-1285	Progress in Energy and Combustion Science	Elsevier Science Ltd	
PRMSAQ	0079-6425	Progress in Materials Science	Elsevier Science Ltd	
PNASEA	1002-0071	Progress in Natural Science	Science Press	
PNENDE	0079-6530	Progress in Nuclear Energy	Elsevier Science Ltd	
PNMRAT	0079-6565	Progress in Nuclear Magnetic Resonance Spectroscopy	Elsevier Science B.V.	
POCNA8	0079-6611	Progress in Oceanography	Elsevier Science Ltd	
POPTAN	0079-6638	Progress in Optics	Elsevier Science Publishers B.V.	
POGCAT	0300-9440	Progress in Organic Coatings	Elsevier Sequoia SA	
002972	1061-1452	Progress in Paper Recycling	Prog Pap Recycl	
PPNPDB	0146-6410	Progress in Particle and Nuclear Physics	Pergamon Press Ltd	
PPHOED	1062-7995	Progress in Photovoltaics: Research and Applications	John Wiley & Sons Ltd	
PRPSB8	0079-6700	Progress in Polymer Science (Oxford)	Elsevier Science Ltd	
PQUEAH	0079-6727	Progress in Quantum Electronics	Elsevier Science Ltd	
PRKNAZ	0079-6743	Progress in Reaction Kinetics	Elsevier Science Ltd	
PRPTEE	0266-7320	Progress in Rubber and Plastics Technology	Rapra Technol Ltd	
PSSTAW	0079-6786	Progress in Solid State Chemistry	Elsevier Science Ltd	
PSSFBP	0079-6816	Progress in Surface Science	Elsevier Science Ltd	
PLIRDW	0079-6832	Progress on Lipid Research	Elsevier Science Ltd	
PRIEE2	0301-7176	Progress Report - Institute of Hydrodynamics and Hydraulic Engineering	ISVA	
PMSTAO	0033-118X	Promyshlennoe Stroitel'stvo	Mezhdunarodnaya Kniga	
PEPYD5	0721-3115	"Propellants, Explosives, Pyrotechnics"	Wiley-VCH Verlag GmbH	
000085		Properties of Fresh Concrete - Proceedings of the Colloquium	Chapman & Hall Ltd	
PRENE9	0269-2139	Protein Engineering	Oxford Univ Press	
PRZPAE	0033-2291	Przeglad Papierniczy	Sigma Not	
003043	1230-0381	Przeglad Wlokienniczy	Sigma Not	
002877		PT Design	Penton Publ Inc	
PUROAQ	0033-3735	Public Roads	FHWA	
PTRIE5	1016-796X	Public Transport International	UITP	
PUWOAH	0033-3840	Public Works	Public Works Journal Corp	
PTRFDT	1235-0621	Publications - Technical Research Centre of Finland	Technical Research Cent of Finland	
PASPAU	0004-6280	Publications of the Astronomical Society of the Pacific	Astronomical Society of the Pacific	
PPEXEP	1048-3055	Publishing & Production Executive	North American Publishing Co.	
PUPAA8	0033-4081	Pulp & Paper	Miller Freeman Inc	
PPCAAA	0316-4004	Pulp & Paper Canada	Southam Inc	
PPEUFH	1370-754X	Pulp & Paper Europe	Miller Freeman Inc	
002954	0898-6886	Pulp & Paper Forecaster	Miller Freeman Inc	
002953	0748-1608	Pulp & Paper Project Report	Miller Freeman Inc	
PPWEFP		Pulp & Paper Week	Miller Freeman Inc	
PUCPDP	0275-0899	"Pulping Conference, Proceedings of the Technical Association of the Pulp and   Paper Industry"	TAPPI Press	
PAOAE3	0963-9659	Pure and Applied  Optics: Journal of the European Optical Society Part A	IOP	
PACHAS	0033-4545	Pure and Applied Chemistry	Blackwell Scientific Publishers	
PAGYAV	0033-4553	Pure and Applied Geophysics	Birkhaeuser Verlag	
QYLIEL	1001-4322	Qiangjiguang Yu Lizishu/High Power Laser and Particle Beams	Nuclear Society of China	
QIGOE4	1000-680X	Qiche Gongcheng/Automotive Engineering	SAE-China	
QIJIF2	1001-5884	Qilunji Jishu/Turbine Technology	Harbin Steam Turbine Company	
QDGJFN	1006-9798	Qingdao Daxue Xuebao(Gongcheng Jishuban)/Journal of Qingdao University   (Engineering & Technology Edition)	Qingdao Univ	
QDXKE8	1000-0054	Qinghua Daxue Xuebao/Journal of Tsinghua University	Press of Tsinghua University	
QULTDP	0360-9936	Quality	Cahners Bus Inf	
QREIE5	0748-8017	Quality and Reliability Engineering International	John Wiley & Sons Ltd	
QUCOFZ	1357-7336	Quality Concrete	A.H.G. & A.A. Jeffery	
000290		Quality Control of Concrete Structures - Proceedings	E. & F.N. Spon	
QUENE7	0898-2112	Quality Engineering	Marcel Dekker Inc	
QUPRB3	0033-524X	Quality Progress	ASQ	
QUWOEW	1352-8769	Quality World	Inst of Quality Assurance	
QUSOEC	1355-5111	Quantum and Semiclassical Optics: Journal of the European Optical Society   Part B Semiclassical Optics	IOP	
QUELEZ	1063-7818	Quantum Electronics(English Translation of the Journal Kvantovaya   Elektronika)	American Inst of Physics	
QUMAE8	0950-9526	Quarry Management	QMJ Publ Ltd.	
QJEGA7	0481-2085	Quarterly Journal of Engineering Geology	Geological Society Publishing House	
QJMMAV	0033-5614	Quarterly Journal of Mechanics and Applied Mathematics	Oxford Univ Press	
QAMAAY	0033-569X	Quarterly of Applied Mathematics	Am Math Soc	
QRTIA8	0033-9008	Quarterly Report of RTRI (Railway Technical Research Institute) (Japan)	Ken-yusha Inc.	
QUINER	1040-6182	Quaternary International	Elsevier Science Ltd	
QRESAV	0033-5894	Quaternary Research	Academic Press Inc	
QSREDU	0277-3791	Quaternary Science Reviews	Elsevier Science Ltd	
QUESDL	0210-8054	Questiio	Institut d'Estadistica de Catalunya	
QUSYE8	0257-0130	"Queueing Systems, Theory and Applications"	Baltzer Science Publishers B.V.	
002993	0191-4588	Quick Printing	Cygnus Publ Inc	
RDMAAW	0033-6807	R & D Management	Basil Blackwell Ltd.	
RDKSB9	0373-8868	R&D: Research and Development Kobe Steel Engineering Reports	Kobe Steel Ltd	
RFDEDG	0163-321X	R.F.Design	Premedia Intertec	
REDSEI	1042-0150	Radiation Effects and Defects in Solids	Gordon Breach Sci Publ Inc	
RMEAEP	1350-4487	Radiation Measurements	Elsevier Science Ltd	
RPCHDM	0969-806X	Radiation Physics and Chemistry	Elsevier Science Ltd	
RPMAEI	0740-0640	Radiation Protection Management	R S A Publications	
RAREAE	0033-7587	Radiation Research	Kluge Carden Jennings	
RBIREJ		Radiatsionnaya Biologiya. Radioekologiya	Mezhdunarodnaya Kniga	
RADCB7	0033-7803	Radio Communication	Radio Sco Great Britain	
RASCAD	0048-6604	Radio Science	American Geophysical Union	
RWMREG	1065-609X	Radioactive Waste Management and Environmental Restoration	Gordon & Breach Science Publ Inc	
RARAE6	1045-845X	Radioactivity & Radiochemistry	Caretaker Technol Inc	
RAACAP	0033-8230	Radiochimica Acta	R. Oldenbourg Verlag GmbH	
RCSYDS	0735-2727	Radioelectronics and Communications Systems	Allerton Press Inc	
RADKAU	1066-3622	Radiokhimiya	Rossiiskaya Akademiya Nauk	
RPQEAC	0033-8443	Radiophysics and Quantum Electronics	Plenum Publ Corp	
RATEAO	0033-8486	Radiotekhnika	Mezhdunarodnaya Kniga	
RAELA4	0033-8494	Radiotekhnika i Elektronika	Mezhdunarodnaya Kniga	
RAIIAF	0020-8442	Rail International	Int Railway Congress Assoc	
RAAGA3	0033-8826	Railway Age	Simmons-Boardman Publ Corp	
RWGIAN	0373-5346	Railway Gazette International	Reed Business Publishing Ltd.	
RTSTAR	0033-8916	Railway Track and Structures	Simmons-Boardman Publ Corp	
RAPIEK	0296-1598	RAIRO  Automatique-Productique Informatique Industrielle - Automatic Control   Production and System	Editions Hermes	
RSROD3	0399-0559	RAIRO Recherche Operationnelle	Dunod	
RCDYEM	1061-835X	Random and Computational Dynamics	Marcel Dekker Inc	
002992	0483-9420	Random Lengths	Random Lengths Publ Inc	
RHXUD8	0253-2409	Ranliao Huaxue Xuebao/Journal of Fuel Chemistry and Technology	China Int Book Trading Corp	
RKJIFR	1006-8740	Ranshao Kexue Yu Jishu/Journal of Combustion Science and Technology	Tianjin Univ	
RCMSEF	0951-4198	Rapid Communications in Mass Spectrometry	John Wiley & Sons Ltd	
RPJOFC	1355-2546	Rapid Prototyping Journal	MCB Univ Press Ltd	
RARME8	1001-0521	Rare Metals	Nonferrous Met Soc China	
RASPEM	0235-0106	Rasplavy	Mezhdunarodnaya Kniga	
RKCLAU	0133-1736	Reaction Kinetics and Catalysis Letters	Elsevier Science Publishers B.V.	
RFPOF6	1381-5148	Reactive and Functional Polymers	Elsevier Science B.V.	
RMIXEC		Ready Mix	"Advanstar Communications, Inc"	
REIMFQ	1007-2014	Real-Time Imaging	Academic Press Ltd	
RESYE9	0922-6443	Real-Time Systems	Kluwer Academic Publishers	
PRASF5	1080-1812	Real-Time Technology and Applications - Proceedings	IEEE	
RCCHBV	0029-5671	Recherche	Societe d'Editions Scientifiques	
RPLSDW		"Record - IEEE PLANS, Position Location and Navigation Symposium"	IEEE	
PCIRAY		Record of Conference Papers - Annual Petroleum and Chemical Industry   Conference	IEEE	
002147		"Records of the IEEE International Workshop on Memory Technology, Design and   Testing"	IEEE	
RTCPA3	0165-0513	Recueil des Travaux Chimiques des Pays-Bas	Elsevier Science B.V.	
RPNEF2	1051-9831	Recycled Paper News	McEntee Media Corp	
REMAFA		Recycling Markets	N.V.Bus Publ corp	
002952	1096-6323	Recycling Today	GIE Publishing Company	
REELF3	1265-6534	"REE, Revue de L'Electricite et de L'Electronique"	Revue Generale de l'Electricite SA	
REJODZ	0048-7066	Reeves Journal	Business News Publishing Co	
002241		Refractories and Industrial Ceramics	Plenum Publ Corp	
RSCOFW	0148-382X	Refrigeration Service & Contracting	Bus News Publ Co	
RRRMEP	0886-9375	Regulated Rivers: Research and Management	John Wiley & Sons Ltd	
RRPREU		Rehabilitation R&D Progress Reports	Veterans Administration	
RPLAA9	0034-3617	Reinforced Plastics	Elsevier Applied Science Publ Ltd	
REGOEL	1001-3814	Rejiagong Gongyi/Hot Working Technology	China Int Book Trading Corp	
RESSEP	0951-8320	Reliability Engineering & System Safety	Elsevier Science Ltd	
RCOMF8	1385-3139	Reliable Computing	Kluwer Academic Publishers	
RSEEA7	0034-4257	Remote Sensing of Environment	Elsevier Science Inc	
RSRVEP	0275-7257	Remote Sensing Reviews	Harwood Academic Publ	
RDGOEE	1001-2060	Reneng Dongli Gongcheng/Journal of Engineering for Thermal Energy and Power	Harbin 703 Res Inst	
RSERFH	1364-0321	Renewable & Sustainable Energy Reviews	Elsevier Science Ltd	
RNENE3	0960-1481	Renewable Energy	Elsevier Science Ltd	
RERDE9	1101-8267	Renewable Energy for Development	Stockholm Environment Institute	
RECHFF	1001-4179	Renmin Changjiang/Yangtze River	Renmin Changjiang	
002603	1386-3703	Report - MAS	INIST	
RUCCD8	0575-4968	Report - University of California Water Resources Center	Univ of California	
RWRCDT	0078-1525	Report - Water Resources Research Institute of The University of North   Carolina	WRRI	
MGRIAD	0076-4809	Report of Investigations - Maryland Geological Survey	Maryland Geological Survey	
002100		"Report Rapport Centrum voor Wiskunde en Informatica, Department of Operations   Research, Statistics, and System Theory (BS)"	INIST	
002968	0486-4476	Reports on Progress in Polymer Physics in Japan	Kobunshi Butsuri Nenpo Kankokai	
002382	0857-6173	RERIC International Energy Journal	Regional Energy Resources Inf Center (RERIC)	
RERNE5	0125-1775	Reric News	Regional Energy Resources Inf Center (RERIC)	
REDEEA	0746-9179	"Research & Development (Barrington, Illinois)"	Cahners Bus Inf	
RCEADM	0823-2660	Research & Development Report - Canadian Electrical Association	Can Electr Assoc	
RSDSBB	0374-4353	Research Disclosure	Kenneth Mason Publ Ltd	
002231		"Research Forum on Recycling, Proceedings"	Canadian Pulp & Paper Assoc	
REEDEC	0934-9839	"Research in Engineering Design - Theory, Applications, and Concurrent   Engineering"	Springer-Verlag GmbH & Company KG	
RNEVER	0934-9847	Research in Nondestructive Evaluation	Springer-Verlag New York Inc.	
001714	0263-5143	Research in Science & Technological Education	Carfax Publishing Co.	
RCINEE	0922-6168	Research on Chemical Intermediates	VSP BV	
REPYBI	0048-7333	Research Policy	Elsevier Science Publishers B.V.	
002635		"Research Report - University of Sydney, Department of Civil Engineering"	Univ Sydney	
RRAREN	0518-0728	Research Report ARR	Australian Road Research Board Ltd	
RRSED5	0159-1185	"Research Report Series - University of Queensland, Department of Civil   Engineering"	Univ of Queensland	
HUTAEC	0783-5396	"Research Report: Helsinki University of Technology, Department of Computer   Science, Digital Systems Laboratory"	Helsinki Univ Technol	
RRIEFP	1342-3819	Research Reports on Information Science and Electrical Engineering of Kyushu   University	Kyushu Univ	
RTMAEC	0895-6308	Research.Technology Management	Industrial Research Inst Inc	
RESNDS	0928-7655	Resource and Energy Economics	Elsevier Science Publishers B.V.	
REREEC	0744-4710	Resource Recycling	Resource Recycling Inc	
RSOUE7	1076-3333	Resource: Engineering & Technology for Sustainable World	ASAE	
RSPCAM	0301-4207	Resources Policy	Elsevier Science Ltd	
RCREEW	0921-3449	"Resources, Conservation and Recycling"	Elsevier Science Publishers B.V.	
RESTBP	0034-5806	Restaurator	Munksgaard Int Publ. Ltd.	
002111		Reverse Engineering - Working Conference Proceedings	IEEE	
RWPCAG	0557-9325	Review of Progress in Coloration and Related Topics	Soc Dyers Color	
RSINAK	0034-6748	Review of Scientific Instruments	American Inst of Physics	
RMINDF	0275-0279	Reviews in Mineralogy	Mineralogical Soc of America	
RPRMEB	1063-5750	Reviews in Particulate Materials	Metal Powder Industries Federation	
REGEEP	8755-1209	Reviews of Geophysics	American Geophysical Union	
RMPHAT	0034-6861	Reviews of Modern Physics	Am Inst Phys	
002360	0100-7386	Revista Brasileira de Ciencias Mecanicas/Journal of the Brazilian Society of   Mechanical Sciences	Braz Soc Mech Sci	
RCBUAU	0034-7752	Revista de Chimie	Chiminform Data S.A.	
RCAPEE	0104-6314	Revista De Engenharia E Ciencias Aplicadas	UNESP-FEG	
003196	0798-4065	Revista De La Facultad De Ingenieria	Univ Cent Venez	
RMTGAC	0034-8570	Revista de Metalurgia (Madrid)	Cent Nacional de Investigaciones Metalurgicas	
RVOPA9	0034-8619	Revista de Obras Publicas	Redaccion y Publicidad	
RPMOAM	0034-8708	Revista de Plasticos Modernos	Instituto de Plasticos y Caucho	
RLAQA8	0370-5943	Revista Latinoamericana de Quimica	Federacion Latinoamericana de Quimica	
RTFZDH	0254-0770	Revista Tecnica de la Facultad de Ingenieria Universidad del Zulia	Revista Tecnica de la Facultad de Ingenieria	
002008	0990-7009	Revue d'Automatique et de Productique Appliquees	Editions Hermes	
002009	0992-499X	Revue d'Intelligence Artificielle	Editions Hermes	
REEND7	0303-240X	Revue de l'Energie	Editions Techniques et Economiques	
RFPTBH	0020-2274	Revue de l'Institut Francais du Petrole	Editions Technip	
REMEAH	0035-1563	Revue de Metallurgie. Cahiers D'Informations  Techniques	Publicite a la Revue	
RSEAEX	0992-7158	Revue Des Sciences De L'Eau/Journal of Water Science	Lavoisier Abonnements	
RPRCFG		Revue du Papier Carton	Pacacel	
RVFFA2	0035-2829	Revue Forestiere Francaise	Ecole Natl du Genie Rural des Eaux et des Forets	
RFCGAE	0035-3000	Revue Francaise des Corps Gras	ETIG	
RGTHA7	0035-3159	Revue Generale de Thermique	Editions Europeennes Thermique & Industrie	
RGCFAI	0035-3183	Revue Generale des Chemins de Fer	Gauthier-Villars	
RVUHAF	0035-3248	Revue HF Tijdschrift	Societe Belge des Ingenieurs de Telecommunication et d'Electronique	
RPFCAJ	0370-6699	Revue Pratique du Froid et du Conditionnement d'Air	Pyc Edition S. A.	
002248	0035-3930	Revue Roumaine de Chimie	Edit l'Academie Rep Popul.	
002242		Revue Roumaine Electrotechnique et Energetique	Editura Acad Republicii Socialiste Romania	
RFMQAQ	0373-6601	"RFM, Revue Francaise de Mecanique"	Soc Francaise des Mechaniciens	
RGNUDJ	0335-5004	RGN: Revue Generale Nucleaire	Revue Generale de l'Electricite SA	
RHEAAK	0035-4511	Rheologica Acta	Dr. Dietrich Steinkopff Verlag	
RSHOEM	0913-140X	Rinsan Shikenj Oha/Journal of the Hokkaido Forest Products Research Institute	Hokkaido For Prod Res Inst	
RIANDF	0272-4332	Risk Analysis	Kluwer Academic/Plenum Publ Corp	
85NBAV		"Risk-Based Decision Making in Water Resources, Proceedings of the Conference"	ASCE	
RNLDD7	0418-6435	Riso National Laboratory Report (Denmark)	Riso Natl Lab	
RIINDL	0390-668X	Rivista di Informatica	Masson S.p.A. Div Periodici	
RISAAT	0035-6794	Rivista Italiana della Saldatura	Istituto Italiano della Saldatura	
RTRREK	1037-5783	Road and Transport Research	Australian Road Research Board Ltd	
85QKA5		Robot and Human Communication - Proceedings of the IEEE International   Workshop	IEEE	
ROBODV	0263-5747	Robotica	Cambridge Univ Press	
RASOEJ	0921-8890	Robotics and Autonomous Systems	Elsevier Science Publishers B.V.	
RCIMEB	0736-5845	Robotics and Computer-Integrated Manufacturing	Elsevier Science Ltd	
000057		Robotics and Factories of the Future - Proceedings of an International   Conference	Springer-Verlag New York	
ROWOEZ	0737-7908	Robotics World	Douglas Publ	
003224	1000-7598	Rock and Soil Mechanics	J Office Rock Soil Mech	
RMREDX	0723-2632	Rock Mechanics and Rock Engineering	Springer-Verlag Wien	
ROPRA5	0747-3605	Rock Products	Primedia Intertec	
RPCEFF		Rock Products Cement Edition	Primedia Intertec	
500154	0373-0247	Rossijskij Khimicheskij Zhurnal	Victor Kamkin Inc	
QJRMAM	0035-9009	Royal Meteorological Society. Quarterly Journal	Royal Meteorological Society	
RUXUEW	1000-9825	Ruan Jian Xue Bao/Journal of Software	Chinese Acad Sci	
RCTEA4	0035-9475	Rubber Chemistry and Technology	"Rubber Division, ACS"	
RUDVAX	0035-9483	Rubber Developments	Malaysian Rubber Producers' Research Assoc	
RUBWAQ	0035-9572	Rubber World	Lippincott & Peto Inc	
RGNZF2	0353-4529	Rudarsko-Geolosko-Naftni Zbornik/Mining-Geological-Petroleum Engineering   Bulletin	Univ of Zagreb	
RYMID2	0254-0150	Run Hua Yu Mi Feng/Lubrication Engineering	China Int Book Trading Corp	
RUMIA5	0035-9890	Rundfunktechnische Mitteilungen	Mensing GmbH & Co KG	
001921		RUSI Journal	Roy United Serv Inst Def Studies	
RCRVAB	0036-021X	Russian Chemical Reviews	Royal Soc of Chemistry	
RELEEG	1068-3712	Russian Electrical Engineering	Allerton Press Inc	
001907	1068-798X	Russian Engineering Research	Allerton Press Inc	
RJCCEY	1070-3284	Russian Journal of Coordination Chemistry	Plenum Publ Corp	
002274	1070-3622	Russian Journal of General Chemistry	Plenum Publ Corp	
RJICAQ	0036-0236	Russian Journal of Inorganic Chemistry	Izdatel'stvo Nauka	
RJNMEH	0927-6467	Russian Journal of Numerical Analysis and Mathematical Modelling	VSP BV	
RJPCAR	0036-0244	Russian Journal of Physical Chemistry	Izdatel'stvo Nauka	
RMLYAQ	0036-0295	Russian Metallurgy	Allerton Press Inc	
RUICE5	1063-7397	Russian Microelectronics	Plenum Publ Corp	
RSUSAR	0048-8828	Russian Ultrasonics	"Multi-Science Publishing Co, Ltd"	
SOVIAJ	0038-1810	S V Sound and Vibration	Acoustical Publ Inc	
SAPSER	0256-2499	Sadhana - Academy Proceedings in Engineering Sciences	Indian Acad of Sciences	
SAESA2		SAE Special Publications	SAE	
SAFJDH	0191-6319	SAFE Journal	Survival Flight Equipment Assoc	
SAHEED	0891-1797	Safety & Health	Natl Safety Council	
SSCIEO	0925-7535	Safety Science	Elsevier Sci Ltd	
SAJUAX	0091-1062	SAMPE Journal	SAMPE	
SACODH	0147-7439	Satellite Communications	Premedia Intertec	
SAPRDN	0163-6707	SAVE Proceedings (Society of American Value Engineers)	Soc of American Value Engineers	
002410		SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference   Proceedings	IEEE	
SVBTF6		Sbornik	Mil Acad Brno	
500033		Sbornik - Kratkie Soobshcheniya po Fizike AN SSSR	Mezhdunarodnaya Kniga	
SJFRE3	0282-7581	Scandinavian Journal of Forest Research	Scandinavian University Press	
SJMLAG	0371-0459	Scandinavian Journal of Metallurgy	Munksgaard Int Publ. Ltd.	
SCNNDF	0161-0457	Scanning: Journal of Scanning Microscopies	Found Adv Med Sci Inc	
SCSCA4	0036-7184	Schweissen und Schneiden/Welding & Cutting	DVS	
STZTA5	0040-151X	Schweizerische Technische Zeitschrift	Schweizerischer Technischer Verband	
SCIEAS	0036-8075	Science	American Assoc for the Advancement of Science	
STELDF	0194-262X	Science & Technology Libraries	Haworth Press	
SCETFO	1006-9321	Science China Series E Technological Sciences	Gordon & Breach Science Publ Inc	
SCAAFF	1006-9283	"Science in China Series A Mathematics, Physics, Astronomy"	Sci China Press	
SCBCFQ	1006-9291	Science in China Series B Chemistry	Sci China Press	
SCCLFO	1006-9305	Science in China Series C Life Sciences	Sci China Press	
SCDEF8	1006-9313	Science in China Series D Earth Sciences	Sci China Press	
SCNEBK	0036-8423	Science News	"Science Service, Inc."	
SCPGD4	0167-6423	Science of Computer Programming	Elsevier Science B.V.	
SCSNB4	0350-820X	Science of Sintering	Int Inst for the Science of Sintering	
STENDL	0048-9697	Science of the Total Environment	Elsevier Science Publishers B.V.	
SCPRAY	0036-8504	Science Progress	Science Reviews Ltd.	
SCNCAD	0036-861X	Sciences	New York Acad of Sciences	
SCALDC	0240-8813	Sciences des Aliments	Lavoisier Abonnements	
003092	1413-9324	Scientia Forestalis/Forest Sciences	IPEF-ESALQ	
SCAMAC	0036-8733	Scientific American	Sci Am Inc	
85QLA8	1099-3371	Scientific and Statistical Database Management - Proceedings of the   International Working Conference	IEEE	
003221		Scientific Computing & Instrumentation	Cahners	
SCIPEV	1058-9244	Scientific Programming	IOS Press	
SCNTDX	0138-9130	Scientometrics	Elsevier Science Publishers B.V.	
SJGEAX	0036-9276	Scottish Journal of Geology	Geological Society Publishing House	
002050		Scottish Water	Int Trade Publications Ltd	
002925	0898-0756	Scrap	Inst Scrap Recycl Ind	
001932		Screen Printing	S T Publ Inc	
002997	0953-3338	Screen Process	Batiste Publ Ltd	
SCMAF7	1359-6462	Scripta Materialia	Elsevier Science Ltd	
SEATAD	0093-3651	Sea Technology	Compass Publ Inc	
SEQUDV	0129-5721	SEAISI Quarterly (South East Asia Iron and Steel Institute)	South East Asia Iron & Steel Inst	
SRCHAA	0004-9549	Search	Control Publications	
SMDPE8	1070-4795	Searcher:Magazine for Database Professionals	"Inf Today, Inc."	
SEGEBX	0037-0738	Sedimentary Geology	Elsevier Science B.V.	
SEDIAT	0037-0746	Sedimentology	Blackwell Sci Ltd	
STERFZ	1343-4349	SEI Technical Review	Sumitomo Electr Ind Ltd	
SKKAEI	0912-0289	Seimitsu Kogaku Kaishi/Journal of the Japan Society for Precision Engineering	JSPE	
SKGSAE	0582-4664	Sekiyu Gakkai Shi/Journal of the Japan Petroleum Institute	Sakiyu Gakkai/Japan Petroleum Inst	
SITLDD	0163-3767	Semiconductor International	Cahners Publ Co	
SSTEET	0268-1242	Semiconductor Science and Technology	IOP	
SESEES	0080-8784	Semiconductors and Semimetals	Academic Press Inc	
SENGA5	0037-9875	"Sen'i Gakkaishi/Journal of the Society of Fiber Science and Technology, Japan"	Sen'i Gakkai	
SESKB9	0037-2072	Sen'i Seihin Shohi Kagaku	Nihon Sen'i Seihin Shohi Kagakkai	
SKGKAO	0371-0580	Seni Kikai Gakkai Shi/Journal of the Textile Machinery Society of Japan	Textile Machinery Soc of Japan	
SPGKAP	0495-775X	Senpaku Gijutsu Kenkyusho Hokoku/Papers of Ship Research Institute	Ship Research Inst	
SNRVDY	0260-2288	Sensor Review	MCB Univ Press Ltd	
SNSRES	0746-9462	"Sensors (Peterborough, NH)"	Helmers Publ Inc	
SAAPEB	0924-4247	"Sensors and Actuators, A: Physical"	Elsevier Sequoia SA	
SABCEB	0925-4005	"Sensors and Actuators, B: Chemical"	Elsevier Sequoia SA	
SPMHBD	0360-2540	Separation and Purification Methods	Marcel Dekker Inc	
SPUTFP	1383-5866	Separation and Purification Technology	Elsevier Science Ltd	
SSTEDS	0149-6395	Separation Science and Technology	Marcel Dekker Inc	
SSEAEA		"SERA, Safety Engineering and Risk Analysis Division, ASME"	ASME	
SPTED7	0107-1092	"Series Paper - Technical University of Denmark, Institute of Hydrodynamics   and Water Resources"	ISVA	
002752	1396-2167	"Series Report - Technical University of Denmark, Department of Structural   Engineering and Materials"	Tech Univ of Denmark	
SRPSD9	0736-7260	Seybold Report on Publishing Systems	Seybold Publ Inc.	
SFBUFX		SFPE Bulletin	Soc of Fire Protection Engineers	
SXUXEO	1000-5188	Shanghai Haiyun Xueyuan Xuebao/Journal of Shanghai Maritime University	China Int Book Trading Corp	
SCPTDH	1006-2467	Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University	Shanghai Jiaotong Univ	
JINSD7	1001-7208	Shanghai Jinshu/Shanghai Metals	Shanghai Society of Metals	
SLDXFQ	1007-6735	Shanghai Ligong Daxue Xuebao/Journal of University of Shanghai for Science   and Technology	Shanghai Inst Mech Eng	
STEJD9	0285-0362	Shapu Giho/Sharp Technical Journal	Sharp Corp	
SHMIAR	0037-3435	Sheet Metal Industries	DMG Bus Media Ltd	
SYGZF2	1001-5515	Shengwu Yixue Gongchengxue Zazhi/Journal of Biomedical Engineering	West China Univ Med Sci	
SHGHAS	0371-0025	Shengxue Xuebao/Acta Acustica	China Int Book Trading Corp	
SLYHEE	1005-2399	Shi You Lian Zhi Yu Hua Gong/Petroleum Processing and Petrochemicals	China Int Book Trading Corp	
SZGOE9	1000-7393	Shi You Zuan Cai Gong Yi/Oil Drilling and Production Technology	China Int Book Trading Corp	
SHINAM	0559-8516	Shinku/Journal of the Vacuum  Society of Japan	Nihon Shinku Kyokai	
002610		"Ship Control Systems Symposium, Proceedings"	Computational Mechanics Publ	
STEREY	0937-7255	Ship Technology Research	Schiffahrts-Verlag Hansa C. Schroedter & Co	
SWSBA5	0037-3931	Shipping World and Shipbuilder	Seven Kings Publ Ltd	
001940	0037-394X	Ships Monthly	Waterway Prod Ltd	
SDXZE7	1000-5870	Shiyou Daxue Xuebao/Journal of the University of Petroleum China	Univ Pet China	
SDWKEP	1000-7210	Shiyou Diqiu Wuli Kantan/Oil Geophysical Prospecting	China Int Book Trading Corp	
SGJIE9	1001-2206	Shiyou Gongcheng Jianshe/Petroleum Engineering Construction	China Natl Pet Corp	
SHGXEC	1006-396X	Shiyou Huagong Gaodeng Xuexiao Xuebao/Journal of Petrochemical Universities	Fushun Petrol Inst	
SHUSEX	1000-7466	Shiyou Huagong Shebei/ Petro-Chemical Equipment	Lanzhou Petr Mach Res Inst	
SHHUE8	1000-8144	Shiyou Huagong/Petrochemical Technology	Beijing Research Institute of Chemical Industry	
SKYKEG	1000-0747	Shiyou Kan Tan Yu Kai Fa/Petroleum Exploration and Development	China Int Book Trading Corp	
